"happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
10,1,5,0,0,0,0,0,0,0,5,0,0,0,5,1
0,10,0,0,0,0,0,1,10,0,0,2,0,0,0,0
0,0,10,0,0,0,0,1,0,1,0,10,0,0,1,0
0,0,0,10,0,0,0,0,10,5,0,0,0,5,0,1
0,0,0,0,10,0,0,0,0,0,1,5,0,0,5,7
0,0,0,0,0,10,0,0,0,0,0,1,10,0,0,1
0,0,0,0,0,0,10,0,5,1,5,0,1,0,0,0
0,0,0,0,0,0,0,10,0,0,0,6,0,0,10,0
