"happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
10,1,0,0,0,0,0,0,0,0,10,0,0,0,0,1
0,10,0,0,0,0,0,1,10,0,0,0,0,0,0,0
0,0,10,0,0,0,0,1,0,1,0,10,0,0,0,0
0,0,0,10,0,0,0,0,10,10,0,0,0,1,0,2
0,0,0,0,10,0,0,0,0,2,1,1,0,0,2,10
0,0,0,0,0,10,0,0,0,0,0,2,3,0,0,1
0,0,1,0,1,0,10,0,10,1,2,1,0,0,0,0
0,0,0,0,0,0,0,10,1,0,0,0,1,1,10,0
