"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",0.9994,0.3207,0.4193,0.0922,-0.2264,0.0455,-0.4155,-0.2473,0,0,0,0,0,0,0,0
"excitedlag",0.3207,0.9962,0.0903,0.3141,0.0434,0.1808,-0.1801,-0.0402,0,0,0,0,0,0,0,0
"relaxedlag",0.4193,0.0903,0.9985,0.1028,-0.2513,0.0729,-0.4291,-0.2158,0,0,0,0,0,0,0,0
"satisfiedlag",0.0922,0.3141,0.1028,0.9892,0.1282,0.3618,-0.098,0.1059,0,0,0,0,0,0,0,0
"angrylag",-0.2264,0.0434,-0.2513,0.1282,0.9913,0.2438,0.1499,0.6083,0,0,0,0,0,0,0,0
"anxiouslag",0.0455,0.1808,0.0729,0.3618,0.2438,0.9974,-0.023,0.2481,0,0,0,0,0,0,0,0
"depressedlag",-0.4155,-0.1801,-0.4291,-0.098,0.1499,-0.023,0.9998,0.2569,0,0,0,0,0,0,0,0
"sadlag",-0.2473,-0.0402,-0.2158,0.1059,0.6083,0.2481,0.2569,0.9952,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.7485,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.7267,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.797,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.7768,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.5929,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.9313,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7091,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9242
