"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",0.9904,0.4593,0.4601,0.617,-0.4137,-0.1443,-0.6405,-0.4386,0,0,0,0,0,0,0,0
"excitedlag",0.4593,0.9976,0.3411,0.4227,-0.2039,0.0893,-0.48,-0.2811,0,0,0,0,0,0,0,0
"relaxedlag",0.4601,0.3411,0.9742,0.4803,-0.2482,-0.1676,-0.5893,-0.3215,0,0,0,0,0,0,0,0
"satisfiedlag",0.617,0.4227,0.4803,0.982,-0.5094,-0.0804,-0.4988,-0.3635,0,0,0,0,0,0,0,0
"angrylag",-0.4137,-0.2039,-0.2482,-0.5094,0.9815,0.1751,0.2668,0.2813,0,0,0,0,0,0,0,0
"anxiouslag",-0.1443,0.0893,-0.1676,-0.0804,0.1751,0.9863,0.131,-0.0417,0,0,0,0,0,0,0,0
"depressedlag",-0.6405,-0.48,-0.5893,-0.4988,0.2668,0.131,0.9864,0.4568,0,0,0,0,0,0,0,0
"sadlag",-0.4386,-0.2811,-0.3215,-0.3635,0.2813,-0.0417,0.4568,0.998,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.8658,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.7481,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.5828,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.5435,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.6338,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.8978,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4249,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6465
