"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1,0.3214,0.4197,0.0927,-0.2275,0.0455,-0.4157,-0.2479,0,0,0,0,0,0,0,0
"excitedlag",0.3214,1,0.0905,0.3164,0.0437,0.1813,-0.1805,-0.0404,0,0,0,0,0,0,0,0
"relaxedlag",0.4197,0.0905,1,0.1035,-0.2526,0.0731,-0.4294,-0.2165,0,0,0,0,0,0,0,0
"satisfiedlag",0.0927,0.3164,0.1035,1,0.1295,0.3642,-0.0986,0.1068,0,0,0,0,0,0,0,0
"angrylag",-0.2275,0.0437,-0.2526,0.1295,1,0.2452,0.1506,0.6124,0,0,0,0,0,0,0,0
"anxiouslag",0.0455,0.1813,0.0731,0.3642,0.2452,1,-0.023,0.249,0,0,0,0,0,0,0,0
"depressedlag",-0.4157,-0.1805,-0.4294,-0.0986,0.1506,-0.023,1,0.2575,0,0,0,0,0,0,0,0
"sadlag",-0.2479,-0.0404,-0.2165,0.1068,0.6124,0.249,0.2575,1,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.7617,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.7495,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.7948,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.8083,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.6082,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.935,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7552,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9364
