"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1.0057,0.5445,0.4134,0.549,-0.3214,-0.0789,-0.2641,-0.2112,0,0,0,0,0,0,0,0
"excitedlag",0.5445,1.0017,0.4137,0.5464,-0.3429,-0.0442,-0.1354,-0.1393,0,0,0,0,0,0,0,0
"relaxedlag",0.4134,0.4137,1.0109,0.5758,-0.1793,0.0383,-0.0983,-0.0254,0,0,0,0,0,0,0,0
"satisfiedlag",0.549,0.5464,0.5758,0.9971,-0.4032,-0.1781,-0.1806,-0.2844,0,0,0,0,0,0,0,0
"angrylag",-0.3214,-0.3429,-0.1793,-0.4032,0.9982,0.4221,0.4215,0.5433,0,0,0,0,0,0,0,0
"anxiouslag",-0.0789,-0.0442,0.0383,-0.1781,0.4221,1.0007,0.4013,0.5487,0,0,0,0,0,0,0,0
"depressedlag",-0.2641,-0.1354,-0.0983,-0.1806,0.4215,0.4013,0.985,0.385,0,0,0,0,0,0,0,0
"sadlag",-0.2112,-0.1393,-0.0254,-0.2844,0.5433,0.5487,0.385,0.9965,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.8205,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.6916,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.6062,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.6195,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.5847,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.6519,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8267,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6105
