"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1,0.3179,0.4769,0.5921,-0.0866,0.0635,-0.4013,-0.2038,0,0,0,0,0,0,0,0
"excitedlag",0.3179,1,0.2152,0.3084,0.1679,0.127,-0.1458,0.0328,0,0,0,0,0,0,0,0
"relaxedlag",0.4769,0.2152,1,0.5564,-0.0615,0.0908,-0.3724,-0.1241,0,0,0,0,0,0,0,0
"satisfiedlag",0.5921,0.3084,0.5564,1,0.1272,0.2627,-0.3817,-0.0329,0,0,0,0,0,0,0,0
"angrylag",-0.0866,0.1679,-0.0615,0.1272,1,0.5698,0.2123,0.504,0,0,0,0,0,0,0,0
"anxiouslag",0.0635,0.127,0.0908,0.2627,0.5698,1,0.0741,0.4065,0,0,0,0,0,0,0,0
"depressedlag",-0.4013,-0.1458,-0.3724,-0.3817,0.2123,0.0741,1,0.2545,0,0,0,0,0,0,0,0
"sadlag",-0.2038,0.0328,-0.1241,-0.0329,0.504,0.4065,0.2545,1,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.7033,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.7404,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.7018,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.5944,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.7197,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.6854,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8507,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916
