"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1,0.6198,0.5225,0.7081,-0.3989,-0.3586,-0.6597,-0.4908,0,0,0,0,0,0,0,0
"excitedlag",0.6198,1,0.641,0.6403,-0.4544,-0.2546,-0.7187,-0.4178,0,0,0,0,0,0,0,0
"relaxedlag",0.5225,0.641,1,0.6365,-0.2751,-0.3539,-0.6222,-0.316,0,0,0,0,0,0,0,0
"satisfiedlag",0.7081,0.6403,0.6365,1,-0.447,-0.4328,-0.6402,-0.4824,0,0,0,0,0,0,0,0
"angrylag",-0.3989,-0.4544,-0.2751,-0.447,1,0.2937,0.395,0.3378,0,0,0,0,0,0,0,0
"anxiouslag",-0.3586,-0.2546,-0.3539,-0.4328,0.2937,1,0.352,0.2118,0,0,0,0,0,0,0,0
"depressedlag",-0.6597,-0.7187,-0.6222,-0.6402,0.395,0.352,1,0.3873,0,0,0,0,0,0,0,0
"sadlag",-0.4908,-0.4178,-0.316,-0.4824,0.3378,0.2118,0.3873,1,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.8941,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.5828,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.5037,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.4248,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.7837,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.7546,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4047,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7299
