"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",0.9982,0.5182,0.4619,0.5845,-0.3493,-0.0478,-0.4214,-0.3232,0,0,0,0,0,0,0,0
"excitedlag",0.5182,0.9992,0.43,0.5273,-0.1505,-0.1707,-0.2659,-0.2148,0,0,0,0,0,0,0,0
"relaxedlag",0.4619,0.43,0.9948,0.6195,-0.2273,-0.0676,-0.2509,-0.2558,0,0,0,0,0,0,0,0
"satisfiedlag",0.5845,0.5273,0.6195,0.9915,-0.2485,-0.1819,-0.2269,-0.3052,0,0,0,0,0,0,0,0
"angrylag",-0.3493,-0.1505,-0.2273,-0.2485,0.9984,0.13,0.5867,0.5937,0,0,0,0,0,0,0,0
"anxiouslag",-0.0478,-0.1707,-0.0676,-0.1819,0.13,0.997,0.1564,0.0425,0,0,0,0,0,0,0,0
"depressedlag",-0.4214,-0.2659,-0.2509,-0.2269,0.5867,0.1564,1.0026,0.4786,0,0,0,0,0,0,0,0
"sadlag",-0.3232,-0.2148,-0.2558,-0.3052,0.5937,0.0425,0.4786,0.9993,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.8283,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.6578,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.5384,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.5732,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.5089,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.9739,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7867,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72
