"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happy",0.0883,0,0.0858,0,0,0,0,0,0,0,0,0,0,0,0,0
"excited",0,0.0734,0,0,0,0,0,0,0.065,0,0,0,0,0,0,0
"relaxed",0,0,0.0701,0,0,0,0,0,0,0,0,0.062,0,0,0,0
"satisfied",0,0,0,0.0754,0,0,0,0,0.072,0.072,0,0,0,0,0,0
"angry",0,0,0,0,0.0595,0,0,0,0,0,0,0.0593,0,0,0.067,0.0659
"anxious",0,0,0,0,0,0.0853,0,0,0,0,0,0,0.0784,0,0,0
"depressed",0,0,0,0,0,0,0.0814,0,0.0701,0,0,0,0,0,0,0
"sad",0,0,0,0,0,0,0,0.0648,0,0,0,0.069,0,0,0.069,0
