"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happy",0.0049,0,0.223,0,0,0,0,0,0,0,0,0,0,0,0,-0.4768
"excited",0,0.0327,0,0,0,0,0,0,0.6798,0,0,0,0,0,0,0
"relaxed",0,0,0.063,0,0,0,0,0,0,0,0,0.6471,0,0,0,0
"satisfied",0,0,0,0.0169,0,0,0,0,0.6334,0.2013,0,0,0,0,0,0
"angry",0,0,0,0,0.1842,0,0,0,0,0,0,-0.1609,0,0,0.3547,0
"anxious",0,0,0,0,0,0.0165,0,0,0,0,0,0,0.4405,0,0,0
"depressed",0,0,0,0,0,0,0.3734,0,-0.3568,0,0,0,0,0,0,0
"sad",0,0,0,0,0,0,0,0.3337,0,0,0,-0.0445,0,0,0.2725,0
