"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1.0223,0.7986,0.4995,0.6879,0.0248,-0.0373,0.1971,-0.4051,0,0,0,0,0,0,0,0
"excitedlag",0.7986,1.0493,0.4375,0.6895,0.012,-0.1264,0.145,-0.181,0,0,0,0,0,0,0,0
"relaxedlag",0.4995,0.4375,0.9864,0.4815,-0.1057,-0.0325,0.0868,-0.2342,0,0,0,0,0,0,0,0
"satisfiedlag",0.6879,0.6895,0.4815,1.0151,-0.0892,-0.1893,0.0597,-0.5011,0,0,0,0,0,0,0,0
"angrylag",0.0248,0.012,-0.1057,-0.0892,0.9979,0.0202,0.007,0.0769,0,0,0,0,0,0,0,0
"anxiouslag",-0.0373,-0.1264,-0.0325,-0.1893,0.0202,0.9995,0.0942,-0.0313,0,0,0,0,0,0,0,0
"depressedlag",0.1971,0.145,0.0868,0.0597,0.007,0.0942,0.9918,-0.0277,0,0,0,0,0,0,0,0
"sadlag",-0.4051,-0.181,-0.2342,-0.5011,0.0769,-0.0313,-0.0277,0.9762,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.2696,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.2915,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.6212,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.4831,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.9787,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.9968,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9764,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3734
