"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",0.9971,0.7249,0.6671,0.6892,-0.2525,-0.016,-0.3058,-0.2237,0,0,0,0,0,0,0,0
"excitedlag",0.7249,0.9942,0.5036,0.5555,-0.1869,-0.0094,-0.2299,-0.1344,0,0,0,0,0,0,0,0
"relaxedlag",0.6671,0.5036,0.9963,0.6915,-0.3277,-0.0212,-0.3751,-0.1828,0,0,0,0,0,0,0,0
"satisfiedlag",0.6892,0.5555,0.6915,0.9922,-0.3225,-0.026,-0.4318,-0.2331,0,0,0,0,0,0,0,0
"angrylag",-0.2525,-0.1869,-0.3277,-0.3225,0.9952,0.0287,0.3285,0.4493,0,0,0,0,0,0,0,0
"anxiouslag",-0.016,-0.0094,-0.0212,-0.026,0.0287,0.9951,0.0658,0.0055,0,0,0,0,0,0,0,0
"depressedlag",-0.3058,-0.2299,-0.3751,-0.4318,0.3285,0.0658,0.9917,0.3979,0,0,0,0,0,0,0,0
"sadlag",-0.2237,-0.1344,-0.1828,-0.2331,0.4493,0.0055,0.3979,0.9945,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.3703,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.3633,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.4809,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.4905,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.7107,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.9957,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8174,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8104
