"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happy",0.1625,0,0,0,0,0,0,0,0,0,0.265,0,0,0,-0.4745,0
"excited",0,0.428,0,0,0,0,0,0,0.2855,0,0,0,0,0,0,0
"relaxed",0,0,0.1158,0,0,0,0,0,0,0,0,0.6245,0,0,0,0
"satisfied",0,0,0,0.2934,0,0,0,0,0.4714,0,0,0,0,0.0136,0,-0.2942
"angry",0,0,0,0,0.2969,0,0,0,0,0,0,0,0,0,0,0.462
"anxious",0,0,0,0,0,0.3664,0,0,0,0,0,0,0.3871,0,0,0
"depressed",0,0,0,0,0,0,0.286,0,0,0,-0.1661,0,0.3849,0,0,0
"sad",0,0,0,0,0,0,0,0.4348,0,0,0,0,0,0,0.4435,0
