"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1,0.311,0.7218,0.8272,-0.5367,-0.3187,-0.724,-0.6154,0,0,0,0,0,0,0,0
"excitedlag",0.311,1,0.3057,0.3424,-0.1317,-0.0677,-0.1085,-0.2125,0,0,0,0,0,0,0,0
"relaxedlag",0.7218,0.3057,1,0.7821,-0.5124,-0.2896,-0.5793,-0.5695,0,0,0,0,0,0,0,0
"satisfiedlag",0.8272,0.3424,0.7821,1,-0.5987,-0.3494,-0.7157,-0.7499,0,0,0,0,0,0,0,0
"angrylag",-0.5367,-0.1317,-0.5124,-0.5987,1,0.5186,0.6516,0.7035,0,0,0,0,0,0,0,0
"anxiouslag",-0.3187,-0.0677,-0.2896,-0.3494,0.5186,1,0.4776,0.4272,0,0,0,0,0,0,0,0
"depressedlag",-0.724,-0.1085,-0.5793,-0.7157,0.6516,0.4776,1,0.7259,0,0,0,0,0,0,0,0
"sadlag",-0.6154,-0.2125,-0.5695,-0.7499,0.7035,0.4272,0.7259,1,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.3488,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.701,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.4088,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.1813,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.4745,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.6313,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4332,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3547
