"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1,0.5425,0.41,0.5483,-0.3208,-0.0786,-0.2653,-0.211,0,0,0,0,0,0,0,0
"excitedlag",0.5425,1,0.4111,0.5468,-0.3429,-0.0442,-0.1363,-0.1394,0,0,0,0,0,0,0,0
"relaxedlag",0.41,0.4111,1,0.5735,-0.1785,0.038,-0.0985,-0.0253,0,0,0,0,0,0,0,0
"satisfiedlag",0.5483,0.5468,0.5735,1,-0.4042,-0.1783,-0.1822,-0.2853,0,0,0,0,0,0,0,0
"angrylag",-0.3208,-0.3429,-0.1785,-0.4042,1,0.4223,0.4251,0.5447,0,0,0,0,0,0,0,0
"anxiouslag",-0.0786,-0.0442,0.038,-0.1783,0.4223,1,0.4042,0.5494,0,0,0,0,0,0,0,0
"depressedlag",-0.2653,-0.1363,-0.0985,-0.1822,0.4251,0.4042,1,0.3886,0,0,0,0,0,0,0,0
"sadlag",-0.211,-0.1394,-0.0253,-0.2853,0.5447,0.5494,0.3886,1,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.8742,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.7374,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.5833,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.6387,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.6056,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.6686,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8316,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.632
