"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1,0.7711,0.4974,0.6753,0.0245,-0.0369,0.1957,-0.4055,0,0,0,0,0,0,0,0
"excitedlag",0.7711,1,0.4301,0.6681,0.0117,-0.1235,0.1421,-0.1788,0,0,0,0,0,0,0,0
"relaxedlag",0.4974,0.4301,1,0.4812,-0.1065,-0.0327,0.0878,-0.2387,0,0,0,0,0,0,0,0
"satisfiedlag",0.6753,0.6681,0.4812,1,-0.0887,-0.1879,0.0595,-0.5034,0,0,0,0,0,0,0,0
"angrylag",0.0245,0.0117,-0.1065,-0.0887,1,0.0202,0.007,0.078,0,0,0,0,0,0,0,0
"anxiouslag",-0.0369,-0.1235,-0.0327,-0.1879,0.0202,1,0.0946,-0.0317,0,0,0,0,0,0,0,0
"depressedlag",0.1957,0.1421,0.0878,0.0595,0.007,0.0946,1,-0.0281,0,0,0,0,0,0,0,0
"sadlag",-0.4055,-0.1788,-0.2387,-0.5034,0.078,-0.0317,-0.0281,1,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.2801,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.3025,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.6749,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.5068,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.9772,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.9969,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3937
