"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1.0064,0.682,0.6061,0.7943,-0.3799,-0.3714,-0.5451,-0.6228,0,0,0,0,0,0,0,0
"excitedlag",0.682,1.0039,0.5313,0.6297,-0.1548,-0.1584,-0.3162,-0.4105,0,0,0,0,0,0,0,0
"relaxedlag",0.6061,0.5313,1.0053,0.6717,-0.1885,-0.1492,-0.3288,-0.3663,0,0,0,0,0,0,0,0
"satisfiedlag",0.7943,0.6297,0.6717,1.0063,-0.3616,-0.361,-0.4561,-0.5322,0,0,0,0,0,0,0,0
"angrylag",-0.3799,-0.1548,-0.1885,-0.3616,1.0021,0.4719,0.494,0.4186,0,0,0,0,0,0,0,0
"anxiouslag",-0.3714,-0.1584,-0.1492,-0.361,0.4719,1.0001,0.318,0.3497,0,0,0,0,0,0,0,0
"depressedlag",-0.5451,-0.3162,-0.3288,-0.4561,0.494,0.318,1.0048,0.517,0,0,0,0,0,0,0,0
"sadlag",-0.6228,-0.4105,-0.3663,-0.5322,0.4186,0.3497,0.517,1.003,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.5889,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.5124,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.552,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.3549,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.6827,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.7711,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5986,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6542
