"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happy",0.0638,0.0648,0,0,0,0,0,0,0,0,0.058,0,0,0,0.046,0
"excited",0,0.0552,0,0,0,0,0,0,0.0537,0,0,0,0,0,0,0
"relaxed",0,0,0.0556,0,0,0,0,0,0,0,0,0.0574,0,0,0,0
"satisfied",0,0,0,0.06,0,0,0,0,0.0626,0,0,0,0,0.0481,0,0
"angry",0,0,0,0,0.0656,0,0,0,0,0,0.0595,0,0,0,0,0.0605
"anxious",0,0,0,0,0,0.0722,0,0,0,0,0,0,0.0698,0,0,0
"depressed",0,0,0,0,0,0,0.0618,0,0,0,0.0633,0,0,0,0,0
"sad",0,0,0,0,0,0,0,0.0631,0,0,0,0,0,0,0.0614,0
