"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1,0.6785,0.6026,0.7893,-0.3783,-0.3702,-0.542,-0.6199,0,0,0,0,0,0,0,0
"excitedlag",0.6785,1,0.5288,0.6265,-0.1544,-0.1581,-0.3149,-0.4091,0,0,0,0,0,0,0,0
"relaxedlag",0.6026,0.5288,1,0.6678,-0.1878,-0.1488,-0.3272,-0.3648,0,0,0,0,0,0,0,0
"satisfiedlag",0.7893,0.6265,0.6678,1,-0.3601,-0.3598,-0.4536,-0.5297,0,0,0,0,0,0,0,0
"angrylag",-0.3783,-0.1544,-0.1878,-0.3601,1,0.4713,0.4923,0.4175,0,0,0,0,0,0,0,0
"anxiouslag",-0.3702,-0.1581,-0.1488,-0.3598,0.4713,1,0.3172,0.3492,0,0,0,0,0,0,0,0
"depressedlag",-0.542,-0.3149,-0.3272,-0.4536,0.4923,0.3172,1,0.515,0,0,0,0,0,0,0,0
"sadlag",-0.6199,-0.4091,-0.3648,-0.5297,0.4175,0.3492,0.515,1,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.5981,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.524,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.5559,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.3623,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.7296,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.8034,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6139,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6545
