"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happy",0.0511,0,0,0,0,0,0,0,0,0,0.0592,0,0,0,0.057,0
"excited",0,0.0501,0,0,0,0,0,0,0.0501,0,0,0,0,0,0,0
"relaxed",0,0,0.0608,0,0,0,0,0,0,0,0,0.0634,0,0,0,0
"satisfied",0,0,0,0.0388,0,0,0,0,0.0419,0,0,0,0,0.0334,0,0.0438
"angry",0,0,0,0,0.0639,0,0,0,0,0,0,0,0,0,0,0.0636
"anxious",0,0,0,0,0,0.0598,0,0,0,0,0,0,0.0599,0,0,0
"depressed",0,0,0,0,0,0,0.0563,0,0,0,0.0603,0,0.062,0,0,0
"sad",0,0,0,0,0,0,0,0.0506,0,0,0,0,0,0,0.0533,0
