"subj","lhs","op","rhs","est","se","z","pvalue","sarg","sarg.df","sarg.p"
"subj1","neg","=~","anxious",1,0,NA,NA,NA,NA,NA
"subj1","neg","=~","angry",2.26860814546573,0.191565481826965,11.8424682976805,2.3542077923969e-32,4.14618768416311,1,0.0417283724406094
"subj1","neg","=~","sad",3.54744017435657,0.303036607760986,11.706309018462,1.18319036264185e-31,1.07831729364545,1,0.299074294057528
"subj1","neg","=~","depressed",2.35135442755525,0.196537103877689,11.9639212197742,5.49065363935232e-33,8.79807989507023,1,0.00301547742867795
"subj1","neglag","=~","anxiouslag",1,0,NA,NA,NA,NA,NA
"subj1","neglag","=~","angrylag",2.26860814546573,0.191565481826965,11.8424682976805,2.3542077923969e-32,4.85544433897509,1,0.0275590143360887
"subj1","neglag","=~","sadlag",3.54744017435657,0.303036607760986,11.706309018462,1.18319036264185e-31,1.42805245782621,1,0.232082541509292
"subj1","neglag","=~","depressedlag",2.35135442755525,0.196537103877689,11.9639212197742,5.49065363935255e-33,10.6279194455307,1,0.00111392969717645
"subj1","pos","=~","happy",1,0,NA,NA,NA,NA,NA
"subj1","pos","=~","excited",0.26618348009318,0.0355029904737847,7.49749462062158,6.5049143611691e-14,0.796972214934466,1,0.372000172028229
"subj1","pos","=~","relaxed",1.22263180755818,0.0615531311179476,19.8630319100321,8.50198322114511e-88,0.343430014506216,1,0.557856012145105
"subj1","pos","=~","satisfied",1.68863716584517,0.0722009623382855,23.3880146629257,5.65956135800248e-121,0.391391874909152,1,0.531568679201126
"subj1","poslag","=~","happylag",1,0,NA,NA,NA,NA,NA
"subj1","poslag","=~","excitedlag",0.26618348009318,0.0355029904737847,7.49749462062158,6.5049143611691e-14,0.487627758789376,1,0.484987419524486
"subj1","poslag","=~","relaxedlag",1.22263180755818,0.0615531311179476,19.8630319100321,8.50198322114511e-88,0.716824060774024,1,0.397187654850317
"subj1","poslag","=~","satisfiedlag",1.68863716584517,0.0722009623382855,23.3880146629257,5.65956135800248e-121,0.211415110398355,1,0.645660508874867
"subj1","neg","~","neglag",0.866232897822915,0.132812832422792,6.5222078470955,6.92799182596047e-11,3.65194165471445,1,0.0560038864131579
