"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happy",0.2331,0,0,0,0,0,0,0,0,0,0.1908,0,0,0,0,0
"excited",0,0.0662,0,0,0,0,0,0,0.4715,0,0,0,0,0,0,0
"relaxed",0,0,0.0101,0,0,0,0,0.256,0,0,0,0.546,0,0,0,0
"satisfied",0,0,0,0.077,0,0,0,0,0.2622,0.3406,0,0,0,0,0,0
"angry",0,0,0,0,0.0886,0,0,0,0,-0.2611,0,0,0,0,0.2252,0.3959
"anxious",0,0,0,0,0,0.1878,0,0,0,0,0,0,0,0,0,0.4856
"depressed",0,0,0,0,0,0,0.3234,0,-0.234,0,0,0,0,0,0,0
"sad",0,0,0,0,0,0,0,0.4705,0,0,0,0,0,0,0.3261,0
