"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happy",0.3412,0,0,0,0,0,0,0,0,0,0.3943,0,0,0,0,0
"excited",0,0.4262,0,0,0,0,0,0,0.2716,0,0,0,0,0,0,0
"relaxed",0,0,0.1335,0,0,0,0,0,0,0,0,0.5968,0,0,0,0
"satisfied",0,0,0,0.2898,0,0,0,0,0.449,0.0656,0,0,0,0,0,-0.2807
"angry",0,0,0,0,0.2309,0,0,0,0,0,0,0,0,0,0,0.5884
"anxious",0,0,0,0,0,0.3684,0,0,0,0,0,0,0.3849,0,0,0
"depressed",0,0,0,0,0,0,0.2537,0,-0.6039,0,0,0,0,0,0,0
"sad",0,0,0,0,0,0,0,0.3911,0,0,0,0,0,0,0.5471,0
