"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1.0084,0.5448,0.4081,0.5487,-0.3232,-0.081,-0.265,-0.2154,0,0,0,0,0,0,0,0
"excitedlag",0.5448,1.0008,0.4086,0.5447,-0.3432,-0.0455,-0.1359,-0.1405,0,0,0,0,0,0,0,0
"relaxedlag",0.4081,0.4086,1.0006,0.5686,-0.1761,0.0379,-0.0983,-0.0208,0,0,0,0,0,0,0,0
"satisfiedlag",0.5487,0.5447,0.5686,0.9941,-0.4031,-0.1795,-0.1812,-0.2848,0,0,0,0,0,0,0,0
"angrylag",-0.3232,-0.3432,-0.1761,-0.4031,0.9993,0.4234,0.4222,0.545,0,0,0,0,0,0,0,0
"anxiouslag",-0.081,-0.0455,0.0379,-0.1795,0.4234,1.0012,0.4018,0.5501,0,0,0,0,0,0,0,0
"depressedlag",-0.265,-0.1359,-0.0983,-0.1812,0.4222,0.4018,0.9852,0.3859,0,0,0,0,0,0,0,0
"sadlag",-0.2154,-0.1405,-0.0208,-0.2848,0.545,0.5501,0.3859,0.9994,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.7828,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.6923,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.609,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.6248,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.576,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.6663,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8273,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622
