"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1.0031,0.3134,0.7252,0.8234,-0.5019,-0.3103,-0.6919,-0.6054,0,0,0,0,0,0,0,0
"excitedlag",0.3134,1.0276,0.3079,0.3412,-0.1228,-0.065,-0.1015,-0.2093,0,0,0,0,0,0,0,0
"relaxedlag",0.7252,0.3079,1.0046,0.779,-0.4797,-0.2834,-0.5544,-0.5607,0,0,0,0,0,0,0,0
"satisfiedlag",0.8234,0.3412,0.779,0.9868,-0.5551,-0.339,-0.6782,-0.7315,0,0,0,0,0,0,0,0
"angrylag",-0.5019,-0.1228,-0.4797,-0.5551,0.8747,0.4781,0.5815,0.6448,0,0,0,0,0,0,0,0
"anxiouslag",-0.3103,-0.065,-0.2834,-0.339,0.4781,0.9735,0.4482,0.4126,0,0,0,0,0,0,0,0
"depressedlag",-0.6919,-0.1015,-0.5544,-0.6782,0.5815,0.4482,0.9119,0.6807,0,0,0,0,0,0,0,0
"sadlag",-0.6054,-0.2093,-0.5607,-0.7315,0.6448,0.4126,0.6807,0.9658,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.4659,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.4689,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.4058,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.1737,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.4548,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.6019,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4195,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3389
