"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",0.9899,0.4588,0.4563,0.6156,-0.4123,-0.1451,-0.6397,-0.4376,0,0,0,0,0,0,0,0
"excitedlag",0.4588,0.9972,0.341,0.4217,-0.2026,0.0883,-0.4792,-0.2799,0,0,0,0,0,0,0,0
"relaxedlag",0.4563,0.341,0.9707,0.4749,-0.2448,-0.1691,-0.5863,-0.3136,0,0,0,0,0,0,0,0
"satisfiedlag",0.6156,0.4217,0.4749,0.9798,-0.5083,-0.0812,-0.4964,-0.3624,0,0,0,0,0,0,0,0
"angrylag",-0.4123,-0.2026,-0.2448,-0.5083,0.9811,0.1765,0.2644,0.2784,0,0,0,0,0,0,0,0
"anxiouslag",-0.1451,0.0883,-0.1691,-0.0812,0.1765,0.9851,0.1316,-0.0416,0,0,0,0,0,0,0,0
"depressedlag",-0.6397,-0.4792,-0.5863,-0.4964,0.2644,0.1316,0.9861,0.4544,0,0,0,0,0,0,0,0
"sadlag",-0.4376,-0.2799,-0.3136,-0.3624,0.2784,-0.0416,0.4544,0.997,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.7599,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.7477,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.7205,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.5457,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.6355,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.9186,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3351,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.665
