"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happy",0.7886,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0
"excited",0,0.4632,0,0,0,0,0,0,0.4396,0,0,0,0,0,0,0
"relaxed",0,0,0.4411,0,0,0,0,0,0,0,0,0.2207,0,0,0,0
"satisfied",0,0,0,0.0983,0,0,0,0,0.1145,0.44,0,0,0,0,0,-0.344
"angry",0,0,0,0,0.1295,0,0,0,0,0,0,0,0,0,0,0.0723
"anxious",0,0,0,0,0,-0.0551,0,0,0,0,0,0,0,0,0,0
"depressed",0,0,0,0,0,0,-0.0811,0,0.2007,0,0,0,0,0,0,0
"sad",0,0,0,0,0,0,0,0.744,0,0,0,0,0,0,-0.0591,0
