"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1,0.621,0.5247,0.7091,-0.3999,-0.36,-0.6608,-0.4921,0,0,0,0,0,0,0,0
"excitedlag",0.621,1,0.6425,0.6417,-0.4555,-0.2562,-0.7197,-0.4205,0,0,0,0,0,0,0,0
"relaxedlag",0.5247,0.6425,1,0.6383,-0.2767,-0.3554,-0.6237,-0.3192,0,0,0,0,0,0,0,0
"satisfiedlag",0.7091,0.6417,0.6383,1,-0.4481,-0.4341,-0.6415,-0.4849,0,0,0,0,0,0,0,0
"angrylag",-0.3999,-0.4555,-0.2767,-0.4481,1,0.2947,0.3961,0.3396,0,0,0,0,0,0,0,0
"anxiouslag",-0.36,-0.2562,-0.3554,-0.4341,0.2947,1,0.3534,0.2142,0,0,0,0,0,0,0,0
"depressedlag",-0.6608,-0.7197,-0.6237,-0.6415,0.3961,0.3534,1,0.3898,0,0,0,0,0,0,0,0
"sadlag",-0.4921,-0.4205,-0.3192,-0.4849,0.3396,0.2142,0.3898,1,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.8603,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.5841,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.5075,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.4257,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.773,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.7651,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4061,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7187
