"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1,0.7276,0.6689,0.6927,-0.2533,-0.0161,-0.3077,-0.2245,0,0,0,0,0,0,0,0
"excitedlag",0.7276,1,0.5053,0.5586,-0.1876,-0.0094,-0.2317,-0.1351,0,0,0,0,0,0,0,0
"relaxedlag",0.6689,0.5053,1,0.6954,-0.3291,-0.0213,-0.3778,-0.1837,0,0,0,0,0,0,0,0
"satisfiedlag",0.6927,0.5586,0.6954,1,-0.3245,-0.0262,-0.4355,-0.2346,0,0,0,0,0,0,0,0
"angrylag",-0.2533,-0.1876,-0.3291,-0.3245,1,0.0288,0.3309,0.4516,0,0,0,0,0,0,0,0
"anxiouslag",-0.0161,-0.0094,-0.0213,-0.0262,0.0288,1,0.0663,0.0055,0,0,0,0,0,0,0,0
"depressedlag",-0.3077,-0.2317,-0.3778,-0.4355,0.3309,0.0663,1,0.4008,0,0,0,0,0,0,0,0
"sadlag",-0.2245,-0.1351,-0.1837,-0.2346,0.4516,0.0055,0.4008,1,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.3816,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.3708,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.4878,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.4992,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.7583,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.996,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7865,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8406
