"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happy",-5e-04,0,0,0,0,0,0,0,0,0.2821,0.4125,0,0,0,0,0
"excited",0,0.3276,0,0,0,0,0,0,0,0,0,0.3034,0,0,0,0
"relaxed",0,0,0.469,0,0,0,0,0,0,0,0,0,0,0,0,-0.2486
"satisfied",0,0,0,0.3194,0,0,0,0,0,0,0,0,0,0,0,0
"angry",0,0,0,0,0.3075,0,0,0,0,0,0,0,0,0,0,0
"anxious",0,0,0,0,0,0.0228,0,0,0,0,0,0.3671,0,0,0,0
"depressed",0,0,0,0,0,0,0.1835,0,-0.2435,0,-0.3243,0,0,0,0,0
"sad",0,0,0,0,0,0,0,-0.0052,0,0,0,0,0.6145,0,0,0
