"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happy",0.0621,0,0,0,0,0,0,0,0,0,0,0.0587,0,0,0,0.0568
"excited",0,0.0675,0,0,0,0,0,0.0688,0.0643,0,0,0,0,0,0,0
"relaxed",0,0,0.071,0,0,0,0,0,0,0,0,0.065,0,0,0,0
"satisfied",0,0,0,0.0721,0,0,0,0,0,0,0,0,0,0,0,0
"angry",0,0.0749,0,0,0.0736,0,0,0,0,0,0,0,0,0,0,0
"anxious",0,0,0,0,0,0.0639,0,0,0,0,0,0.0593,0.0618,0,0,0
"depressed",0,0,0,0,0,0,0.0762,0,0.0688,0,0,0,0,0,0,0
"sad",0,0,0,0,0,0,0,0.0753,0,0,0,0,0.0676,0,0,0
