"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",0.997,0.3198,0.4753,0.5899,-0.0863,0.0634,-0.3987,-0.203,0,0,0,0,0,0,0,0
"excitedlag",0.3198,1.011,0.2162,0.3116,0.1723,0.1302,-0.1452,0.0371,0,0,0,0,0,0,0,0
"relaxedlag",0.4753,0.2162,0.9944,0.5541,-0.0607,0.0906,-0.3704,-0.1237,0,0,0,0,0,0,0,0
"satisfiedlag",0.5899,0.3116,0.5541,0.9974,0.13,0.2628,-0.3792,-0.0321,0,0,0,0,0,0,0,0
"angrylag",-0.0863,0.1723,-0.0607,0.13,1.0107,0.5716,0.2116,0.5066,0,0,0,0,0,0,0,0
"anxiouslag",0.0634,0.1302,0.0906,0.2628,0.5716,0.995,0.0728,0.4051,0,0,0,0,0,0,0,0
"depressedlag",-0.3987,-0.1452,-0.3704,-0.3792,0.2116,0.0728,0.99,0.2528,0,0,0,0,0,0,0,0
"sadlag",-0.203,0.0371,-0.1237,-0.0321,0.5066,0.4051,0.2528,1.0034,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.5851,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.7228,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.6747,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.8207,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.8305,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.6282,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8131,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7469
