"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1.0001,0.5194,0.4644,0.5853,-0.353,-0.0485,-0.4226,-0.3246,0,0,0,0,0,0,0,0
"excitedlag",0.5194,0.9999,0.4319,0.528,-0.1529,-0.1712,-0.2666,-0.2154,0,0,0,0,0,0,0,0
"relaxedlag",0.4644,0.4319,0.9903,0.6189,-0.2331,-0.0691,-0.253,-0.2584,0,0,0,0,0,0,0,0
"satisfiedlag",0.5853,0.528,0.6189,0.9932,-0.2529,-0.1837,-0.2276,-0.3068,0,0,0,0,0,0,0,0
"angrylag",-0.353,-0.1529,-0.2331,-0.2529,1.0038,0.1318,0.5903,0.5974,0,0,0,0,0,0,0,0
"anxiouslag",-0.0485,-0.1712,-0.0691,-0.1837,0.1318,0.9977,0.157,0.0433,0,0,0,0,0,0,0,0
"depressedlag",-0.4226,-0.2666,-0.253,-0.2276,0.5903,0.157,1.0038,0.4799,0,0,0,0,0,0,0,0
"sadlag",-0.3246,-0.2154,-0.2584,-0.3068,0.5974,0.0433,0.4799,1.0016,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.6304,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.6088,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.7935,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.5737,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,4.0377,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.986,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9307,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6381
