"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happy",0.0562,0,0,0,0,0,0,0,0,0.0627,0,0.062,0,0,0,0
"excited",0,0.0635,0,0,0,0,0,0,0,0,0,0.0574,0,0,0,0
"relaxed",0,0,0.0708,0,0,0,0,0,0,0,0,0,0,0,0,0
"satisfied",0,0,0,0.0581,0,0,0,0.0564,0,0,0.0531,0,0,0,0,0
"angry",0,0,0,0,0.0598,0,0,0,0,0.0537,0,0,0,0,0.0566,0.0604
"anxious",0,0,0,0,0,0.0599,0,0,0,0,0,0,0,0,0,0.0597
"depressed",0,0,0,0,0,0,0.0656,0,0.0642,0,0,0,0,0,0,0
"sad",0,0,0,0,0,0,0,0.0551,0,0,0,0,0,0,0.0546,0
