"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1.028,0.8042,0.5112,0.6899,0.0229,-0.0363,0.1986,-0.4076,0,0,0,0,0,0,0,0
"excitedlag",0.8042,1.0554,0.4522,0.6926,0.0092,-0.1252,0.1465,-0.1845,0,0,0,0,0,0,0,0
"relaxedlag",0.5112,0.4522,0.9976,0.4925,-0.1082,-0.0336,0.0886,-0.2393,0,0,0,0,0,0,0,0
"satisfiedlag",0.6899,0.6926,0.4925,1.0178,-0.0923,-0.1889,0.0599,-0.5041,0,0,0,0,0,0,0,0
"angrylag",0.0229,0.0092,-0.1082,-0.0923,0.9985,0.0207,0.0069,0.0787,0,0,0,0,0,0,0,0
"anxiouslag",-0.0363,-0.1252,-0.0336,-0.1889,0.0207,0.9993,0.0944,-0.0308,0,0,0,0,0,0,0,0
"depressedlag",0.1986,0.1465,0.0886,0.0599,0.0069,0.0944,0.9923,-0.0277,0,0,0,0,0,0,0,0
"sadlag",-0.4076,-0.1845,-0.2393,-0.5041,0.0787,-0.0308,-0.0277,0.9771,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.2687,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.313,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.653,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.4706,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.9835,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.9974,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9825,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3765
