"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1,0.7274,0.6678,0.6921,-0.2525,-0.016,-0.3071,-0.2246,0,0,0,0,0,0,0,0
"excitedlag",0.7274,1,0.5044,0.5586,-0.1867,-0.0094,-0.2318,-0.135,0,0,0,0,0,0,0,0
"relaxedlag",0.6678,0.5044,1,0.6946,-0.3285,-0.0212,-0.3778,-0.1836,0,0,0,0,0,0,0,0
"satisfiedlag",0.6921,0.5586,0.6946,1,-0.3239,-0.0261,-0.4354,-0.2346,0,0,0,0,0,0,0,0
"angrylag",-0.2525,-0.1867,-0.3285,-0.3239,1,0.0288,0.331,0.452,0,0,0,0,0,0,0,0
"anxiouslag",-0.016,-0.0094,-0.0212,-0.0261,0.0288,1,0.0663,0.0055,0,0,0,0,0,0,0,0
"depressedlag",-0.3071,-0.2318,-0.3778,-0.4354,0.331,0.0663,1,0.401,0,0,0,0,0,0,0,0
"sadlag",-0.2246,-0.135,-0.1836,-0.2346,0.452,0.0055,0.401,1,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.3977,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.4583,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.4352,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.4902,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.8669,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.996,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7152,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8159
