"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",0.9934,0.4609,0.4594,0.6196,-0.4147,-0.1456,-0.6442,-0.4432,0,0,0,0,0,0,0,0
"excitedlag",0.4609,0.996,0.3393,0.4246,-0.2049,0.0885,-0.4786,-0.2845,0,0,0,0,0,0,0,0
"relaxedlag",0.4594,0.3393,0.9708,0.4794,-0.2477,-0.1683,-0.589,-0.3228,0,0,0,0,0,0,0,0
"satisfiedlag",0.6196,0.4246,0.4794,0.9842,-0.5109,-0.0816,-0.5018,-0.3684,0,0,0,0,0,0,0,0
"angrylag",-0.4147,-0.2049,-0.2477,-0.5109,0.9826,0.1765,0.2678,0.2824,0,0,0,0,0,0,0,0
"anxiouslag",-0.1456,0.0885,-0.1683,-0.0816,0.1765,0.9848,0.132,-0.0397,0,0,0,0,0,0,0,0
"depressedlag",-0.6442,-0.4786,-0.589,-0.5018,0.2678,0.132,0.9906,0.4643,0,0,0,0,0,0,0,0
"sadlag",-0.4432,-0.2845,-0.3228,-0.3684,0.2824,-0.0397,0.4643,1.0003,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.8809,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.7533,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.5828,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.5677,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.6363,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.9188,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3792,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6573
