"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happy",0.1289,0,0,0,0,0,0,0,0,0,0,0.5628,0,0,0,-0.1892
"excited",0,0.3222,0,0,0,0,0,0.2431,0.2958,0,0,0,0,0,0,0
"relaxed",0,0,0.115,0,0,0,0,0,0,0,0,0.5237,0,0,0,0
"satisfied",0,0,0,0.4138,0,0,0,0,0,0,0,0,0,0,0,0
"angry",0,0.2535,0,0,0.2649,0,0,0,0,0,0,0,0,0,0,0
"anxious",0,0,0,0,0,0.0982,0,0,0,0,0,0.1927,0.5191,0,0,0
"depressed",0,0,0,0,0,0,0.1233,0,-0.3857,0,0,0,0,0,0,0
"sad",0,0,0,0,0,0,0,0.0043,0,0,0,0,0.4988,0,0,0
