"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1,0.3185,0.4774,0.5916,-0.086,0.0636,-0.4013,-0.203,0,0,0,0,0,0,0,0
"excitedlag",0.3185,1,0.2156,0.3103,0.1705,0.1298,-0.1451,0.0369,0,0,0,0,0,0,0,0
"relaxedlag",0.4774,0.2156,1,0.5564,-0.0605,0.0911,-0.3733,-0.1238,0,0,0,0,0,0,0,0
"satisfiedlag",0.5916,0.3103,0.5564,1,0.1295,0.2638,-0.3816,-0.0321,0,0,0,0,0,0,0,0
"angrylag",-0.086,0.1705,-0.0605,0.1295,1,0.57,0.2115,0.5031,0,0,0,0,0,0,0,0
"anxiouslag",0.0636,0.1298,0.0911,0.2638,0.57,1,0.0734,0.4054,0,0,0,0,0,0,0,0
"depressedlag",-0.4013,-0.1451,-0.3733,-0.3816,0.2115,0.0734,1,0.2537,0,0,0,0,0,0,0,0
"sadlag",-0.203,0.0369,-0.1238,-0.0321,0.5031,0.4054,0.2537,1,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.6017,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.7345,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.6848,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.8288,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.8427,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.6515,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8225,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7506
