"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1,0.679,0.6034,0.7897,-0.379,-0.3705,-0.5428,-0.6201,0,0,0,0,0,0,0,0
"excitedlag",0.679,1,0.5296,0.6271,-0.1552,-0.1585,-0.3156,-0.4094,0,0,0,0,0,0,0,0
"relaxedlag",0.6034,0.5296,1,0.6685,-0.1886,-0.1493,-0.3272,-0.3649,0,0,0,0,0,0,0,0
"satisfiedlag",0.7897,0.6271,0.6685,1,-0.3608,-0.3601,-0.4541,-0.5299,0,0,0,0,0,0,0,0
"angrylag",-0.379,-0.1552,-0.1886,-0.3608,1,0.4715,0.4927,0.4183,0,0,0,0,0,0,0,0
"anxiouslag",-0.3705,-0.1585,-0.1493,-0.3601,0.4715,1,0.3175,0.3494,0,0,0,0,0,0,0,0
"depressedlag",-0.5428,-0.3156,-0.3272,-0.4541,0.4927,0.3175,1,0.5149,0,0,0,0,0,0,0,0
"sadlag",-0.6201,-0.4094,-0.3649,-0.5299,0.4183,0.3494,0.5149,1,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.3709,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.5225,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.9371,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.4504,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.7468,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.8038,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6079,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561
