"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1,0.4634,0.4679,0.6267,-0.4198,-0.1472,-0.6494,-0.4446,0,0,0,0,0,0,0,0
"excitedlag",0.4634,1,0.345,0.4289,-0.2072,0.0893,-0.4819,-0.285,0,0,0,0,0,0,0,0
"relaxedlag",0.4679,0.345,1,0.4904,-0.2537,-0.1722,-0.6006,-0.3276,0,0,0,0,0,0,0,0
"satisfiedlag",0.6267,0.4289,0.4904,1,-0.5195,-0.0829,-0.5082,-0.3713,0,0,0,0,0,0,0,0
"angrylag",-0.4198,-0.2072,-0.2537,-0.5195,1,0.1795,0.2714,0.2849,0,0,0,0,0,0,0,0
"anxiouslag",-0.1472,0.0893,-0.1722,-0.0829,0.1795,1,0.1336,-0.04,0,0,0,0,0,0,0,0
"depressedlag",-0.6494,-0.4819,-0.6006,-0.5082,0.2714,0.1336,1,0.4665,0,0,0,0,0,0,0,0
"sadlag",-0.4446,-0.285,-0.3276,-0.3713,0.2849,-0.04,0.4665,1,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.8863,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.7582,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.6056,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.5794,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.6616,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.921,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3979,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.688
