"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1,0.3105,0.723,0.8281,-0.5322,-0.3118,-0.7216,-0.6131,0,0,0,0,0,0,0,0
"excitedlag",0.3105,1,0.3064,0.3427,-0.1284,-0.0622,-0.1046,-0.21,0,0,0,0,0,0,0,0
"relaxedlag",0.723,0.3064,1,0.7831,-0.5087,-0.2838,-0.5779,-0.5674,0,0,0,0,0,0,0,0
"satisfiedlag",0.8281,0.3427,0.7831,1,-0.594,-0.3412,-0.7131,-0.7475,0,0,0,0,0,0,0,0
"angrylag",-0.5322,-0.1284,-0.5087,-0.594,1,0.5212,0.6487,0.6989,0,0,0,0,0,0,0,0
"anxiouslag",-0.3118,-0.0622,-0.2838,-0.3412,0.5212,1,0.4749,0.4257,0,0,0,0,0,0,0,0
"depressedlag",-0.7216,-0.1046,-0.5779,-0.7131,0.6487,0.4749,1,0.7235,0,0,0,0,0,0,0,0
"sadlag",-0.6131,-0.21,-0.5674,-0.7475,0.6989,0.4257,0.7235,1,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.2833,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.6926,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.3923,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.5294,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.4104,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.6261,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3285,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3582
