"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happy",0.0841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"excited",0,0.0844,0,0,0,0,0,0,0,0,0,0,0,0,0.0713,0
"relaxed",0,0,0.0889,0,0,0,0,0,0,0,0,0.0716,0,0,0.0834,0
"satisfied",0,0,0,0.0726,0,0,0,0,0.0639,0,0,0,0,0,0,0
"angry",0,0,0,0,0.0692,0,0,0,0,0,0,0.0673,0,0,0,0
"anxious",0,0,0,0,0,0.0851,0,0,0,0,0,0,0,0,0,0
"depressed",0,0,0.0707,0,0,0,0.0724,0,0.0546,0,0,0,0,0,0,0
"sad",0,0,0,0,0,0,0,0.0733,0.0703,0,0,0,0,0,0,0
