"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1,0.3231,0.4216,0.0946,-0.2272,0.0464,-0.417,-0.2485,0,0,0,0,0,0,0,0
"excitedlag",0.3231,1,0.0954,0.3162,0.0426,0.1815,-0.1823,-0.0418,0,0,0,0,0,0,0,0
"relaxedlag",0.4216,0.0954,1,0.1087,-0.2515,0.0748,-0.4313,-0.217,0,0,0,0,0,0,0,0
"satisfiedlag",0.0946,0.3162,0.1087,1,0.129,0.3644,-0.1003,0.1056,0,0,0,0,0,0,0,0
"angrylag",-0.2272,0.0426,-0.2515,0.129,1,0.2445,0.1509,0.6118,0,0,0,0,0,0,0,0
"anxiouslag",0.0464,0.1815,0.0748,0.3644,0.2445,1,-0.0237,0.2482,0,0,0,0,0,0,0,0
"depressedlag",-0.417,-0.1823,-0.4313,-0.1003,0.1509,-0.0237,1,0.2589,0,0,0,0,0,0,0,0
"sadlag",-0.2485,-0.0418,-0.217,0.1056,0.6118,0.2482,0.2589,1,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.7461,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.7805,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.7074,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.898,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.9054,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.8628,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7016,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6236
