"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",0.9926,0.7217,0.6631,0.6862,-0.2511,-0.0159,-0.3048,-0.2233,0,0,0,0,0,0,0,0
"excitedlag",0.7217,0.9917,0.5006,0.5537,-0.1855,-0.0093,-0.2299,-0.1341,0,0,0,0,0,0,0,0
"relaxedlag",0.6631,0.5006,0.9933,0.689,-0.3268,-0.0211,-0.3751,-0.1826,0,0,0,0,0,0,0,0
"satisfiedlag",0.6862,0.5537,0.689,0.9905,-0.3217,-0.0259,-0.4316,-0.233,0,0,0,0,0,0,0,0
"angrylag",-0.2511,-0.1855,-0.3268,-0.3217,0.9961,0.0287,0.329,0.45,0,0,0,0,0,0,0,0
"anxiouslag",-0.0159,-0.0093,-0.0211,-0.0259,0.0287,0.9951,0.0658,0.0055,0,0,0,0,0,0,0,0
"depressedlag",-0.3048,-0.2299,-0.3751,-0.4316,0.329,0.0658,0.9922,0.3985,0,0,0,0,0,0,0,0
"sadlag",-0.2233,-0.1341,-0.1826,-0.233,0.45,0.0055,0.3985,0.9953,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.3987,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.4575,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.4291,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.481,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.8303,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.9964,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6908,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7861
