"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happy",0.1585,0,0,0,0,0,0,0,0,0.3214,0,0.3421,0,0,0,0
"excited",0,0.0719,0,0,0,0,0,0,0,0,0,0.5159,0,0,0,0
"relaxed",0,0,0.1148,0,0,0,0,0,0,0,0,0,0,0,0,0
"satisfied",0,0,0,0.0993,0,0,0,-0.2557,0,0,0.5779,0,0,0,0,0
"angry",0,0,0,0,0.0885,0,0,0,0,-0.258,0,0,0,0,0.2229,0.3922
"anxious",0,0,0,0,0,0.1857,0,0,0,0,0,0,0,0,0,0.4875
"depressed",0,0,0,0,0,0,0.3226,0,-0.2326,0,0,0,0,0,0,0
"sad",0,0,0,0,0,0,0,0.4723,0,0,0,0,0,0,0.3235,0
