"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1.0053,0.5435,0.4079,0.5478,-0.3227,-0.081,-0.2657,-0.2149,0,0,0,0,0,0,0,0
"excitedlag",0.5435,1.0005,0.4089,0.545,-0.3436,-0.0459,-0.1364,-0.1417,0,0,0,0,0,0,0,0
"relaxedlag",0.4079,0.4089,1.0011,0.569,-0.1764,0.0379,-0.0989,-0.0212,0,0,0,0,0,0,0,0
"satisfiedlag",0.5478,0.545,0.569,0.9951,-0.404,-0.1801,-0.1814,-0.2869,0,0,0,0,0,0,0,0
"angrylag",-0.3227,-0.3436,-0.1764,-0.404,1.0008,0.4246,0.4229,0.5478,0,0,0,0,0,0,0,0
"anxiouslag",-0.081,-0.0459,0.0379,-0.1801,0.4246,1.002,0.402,0.5522,0,0,0,0,0,0,0,0
"depressedlag",-0.2657,-0.1364,-0.0989,-0.1814,0.4229,0.402,0.9858,0.3868,0,0,0,0,0,0,0,0
"sadlag",-0.2149,-0.1417,-0.0212,-0.2869,0.5478,0.5522,0.3868,1.0044,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.5844,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.6811,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.9785,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.5759,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.5759,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.667,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8269,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6176
