"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happy",0.0566,0,0,0,0,0,0,0.0537,0,0,0,0.05,0,0,0,0
"excited",0,0.0501,0,0,0,0,0,0,0.0502,0,0,0,0,0,0,0
"relaxed",0,0,0.0573,0,0,0,0,0,0,0,0,0.055,0,0,0,0
"satisfied",0,0,0,0.0527,0,0,0,0,0,0,0,0,0,0,0,0
"angry",0,0,0,0,0.0586,0,0,0,0,0,0,0,0,0,0.067,0.072
"anxious",0,0,0,0,0,0.0574,0,0,0,0,0,0,0,0,0.0581,0
"depressed",0,0,0,0,0,0,0.049,0,0.0514,0,0,0,0,0,0,0.0534
"sad",0,0,0,0,0,0,0,0.0528,0,0,0,0.0514,0,0,0,0
