"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1,0.5419,0.4065,0.5477,-0.3217,-0.0807,-0.2669,-0.2138,0,0,0,0,0,0,0,0
"excitedlag",0.5419,1,0.4085,0.5462,-0.3434,-0.0459,-0.1373,-0.1413,0,0,0,0,0,0,0,0
"relaxedlag",0.4065,0.4085,1,0.5701,-0.1762,0.0379,-0.0995,-0.0212,0,0,0,0,0,0,0,0
"satisfiedlag",0.5477,0.5462,0.5701,1,-0.4049,-0.1804,-0.1831,-0.287,0,0,0,0,0,0,0,0
"angrylag",-0.3217,-0.3434,-0.1762,-0.4049,1,0.424,0.4257,0.5464,0,0,0,0,0,0,0,0
"anxiouslag",-0.0807,-0.0459,0.0379,-0.1804,0.424,1,0.4045,0.5504,0,0,0,0,0,0,0,0
"depressedlag",-0.2669,-0.1373,-0.0995,-0.1831,0.4257,0.4045,1,0.3888,0,0,0,0,0,0,0,0
"sadlag",-0.2138,-0.1413,-0.0212,-0.287,0.5464,0.5504,0.3888,1,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.6133,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.7199,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.9868,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.568,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.5763,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.6719,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8256,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6211
