"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",0.9901,0.6152,0.5183,0.7039,-0.3974,-0.3579,-0.6553,-0.4891,0,0,0,0,0,0,0,0
"excitedlag",0.6152,0.992,0.6348,0.6369,-0.4523,-0.2545,-0.7138,-0.4171,0,0,0,0,0,0,0,0
"relaxedlag",0.5183,0.6348,0.9861,0.6318,-0.2738,-0.3524,-0.6171,-0.316,0,0,0,0,0,0,0,0
"satisfiedlag",0.7039,0.6369,0.6318,0.9946,-0.4462,-0.4325,-0.6376,-0.483,0,0,0,0,0,0,0,0
"angrylag",-0.3974,-0.4523,-0.2738,-0.4462,0.9966,0.2943,0.394,0.3384,0,0,0,0,0,0,0,0
"anxiouslag",-0.3579,-0.2545,-0.3524,-0.4325,0.2943,0.9966,0.3523,0.2139,0,0,0,0,0,0,0,0
"depressedlag",-0.6553,-0.7138,-0.6171,-0.6376,0.394,0.3523,0.9936,0.3873,0,0,0,0,0,0,0,0
"sadlag",-0.4891,-0.4171,-0.316,-0.483,0.3384,0.2139,0.3873,0.9949,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.5629,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.5852,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.4991,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.4903,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.7869,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.7553,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4751,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7134
