"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happy",0.0463,0,0,0,0,0,0,0,0,0,0.0478,0,0,0,0,0
"excited",0,0.0657,0,0,0,0,0,0,0.0647,0,0,0,0,0,0,0
"relaxed",0,0,0.0713,0,0,0,0,0,0,0,0,0.073,0,0,0,0
"satisfied",0,0,0,0.0686,0,0,0,0,0.0835,0.0786,0,0,0,0,0,0.0564
"angry",0,0,0,0,0.0867,0,0,0,0,0,0,0,0,0,0,0.0746
"anxious",0,0,0,0,0,0.0812,0,0,0,0,0,0,0,0,0,0
"depressed",0,0,0,0,0,0,0.0815,0,0.0752,0,0,0,0,0,0,0
"sad",0,0,0,0,0,0,0,0.0522,0,0,0,0,0,0,0.053,0
