"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1,0.3087,0.7224,0.8276,-0.5359,-0.3141,-0.7234,-0.6151,0,0,0,0,0,0,0,0
"excitedlag",0.3087,1,0.3031,0.3388,-0.1295,-0.065,-0.1049,-0.2101,0,0,0,0,0,0,0,0
"relaxedlag",0.7224,0.3031,1,0.7824,-0.5117,-0.2866,-0.5793,-0.5693,0,0,0,0,0,0,0,0
"satisfiedlag",0.8276,0.3388,0.7824,1,-0.5975,-0.3458,-0.715,-0.7493,0,0,0,0,0,0,0,0
"angrylag",-0.5359,-0.1295,-0.5117,-0.5975,1,0.5181,0.6511,0.7015,0,0,0,0,0,0,0,0
"anxiouslag",-0.3141,-0.065,-0.2866,-0.3458,0.5181,1,0.4757,0.4255,0,0,0,0,0,0,0,0
"depressedlag",-0.7234,-0.1049,-0.5793,-0.715,0.6511,0.4757,1,0.7254,0,0,0,0,0,0,0,0
"sadlag",-0.6151,-0.2101,-0.5693,-0.7493,0.7015,0.4255,0.7254,1,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.4598,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.6959,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.4117,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.1781,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.4728,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.6331,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4245,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3546
