"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happy",0.2987,0,0,0,0,0,0,0,0,0,0.0512,0,0,0,0,0
"excited",0,0.1893,0,0,0,0,0,0,0.5663,0,0,0,0,0,0,0
"relaxed",0,0,0.1223,0,0,0,0,0,0,0.3703,0,0.3422,0,0,0,0
"satisfied",0,0,0,0.086,0,0,0,0,0.4822,0.3188,0,0,0,0,0,0
"angry",0,0,0,0,0.0015,0,0,0,0,-0.3808,0,0,0,0,0,0.1831
"anxious",0,0,0,0,0,0.2387,0,0,0,0,0,-0.3922,0,0,0,0
"depressed",0,0,0,0,0,0,0.048,0,-0.3411,-0.4966,0,0,0,0,0,0
"sad",0,0,0,0,0,0,0,0.187,-0.3998,0,0,0,0,0,0.0934,0
