"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1,0.3168,0.4766,0.5917,-0.0881,0.0624,-0.4017,-0.205,0,0,0,0,0,0,0,0
"excitedlag",0.3168,1,0.2142,0.3063,0.167,0.126,-0.1457,0.0322,0,0,0,0,0,0,0,0
"relaxedlag",0.4766,0.2142,1,0.5565,-0.0628,0.09,-0.3737,-0.1253,0,0,0,0,0,0,0,0
"satisfiedlag",0.5917,0.3063,0.5565,1,0.1251,0.2614,-0.383,-0.035,0,0,0,0,0,0,0,0
"angrylag",-0.0881,0.167,-0.0628,0.1251,1,0.5695,0.2128,0.504,0,0,0,0,0,0,0,0
"anxiouslag",0.0624,0.126,0.09,0.2614,0.5695,1,0.0741,0.4061,0,0,0,0,0,0,0,0
"depressedlag",-0.4017,-0.1457,-0.3737,-0.383,0.2128,0.0741,1,0.2549,0,0,0,0,0,0,0,0
"sadlag",-0.205,0.0322,-0.1253,-0.035,0.504,0.4061,0.2549,1,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.7562,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.7395,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.7019,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.5859,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.7195,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.6853,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8216,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9159
