"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1,0.6784,0.6017,0.7891,-0.3781,-0.3701,-0.5419,-0.6198,0,0,0,0,0,0,0,0
"excitedlag",0.6784,1,0.5283,0.6263,-0.1541,-0.158,-0.3145,-0.4088,0,0,0,0,0,0,0,0
"relaxedlag",0.6017,0.5283,1,0.6672,-0.1871,-0.1482,-0.3254,-0.3633,0,0,0,0,0,0,0,0
"satisfiedlag",0.7891,0.6263,0.6672,1,-0.3598,-0.3597,-0.4529,-0.5293,0,0,0,0,0,0,0,0
"angrylag",-0.3781,-0.1541,-0.1871,-0.3598,1,0.4712,0.492,0.4171,0,0,0,0,0,0,0,0
"anxiouslag",-0.3701,-0.158,-0.1482,-0.3597,0.4712,1,0.3172,0.3491,0,0,0,0,0,0,0,0
"depressedlag",-0.5419,-0.3145,-0.3254,-0.4529,0.492,0.3172,1,0.5149,0,0,0,0,0,0,0,0
"sadlag",-0.6198,-0.4088,-0.3633,-0.5293,0.4171,0.3491,0.5149,1,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.5032,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.5238,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.5702,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.3644,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.7154,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.8022,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6126,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6723
