"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",0.998,0.5181,0.4618,0.5853,-0.3536,-0.0489,-0.4211,-0.3247,0,0,0,0,0,0,0,0
"excitedlag",0.5181,0.9996,0.4311,0.5283,-0.1532,-0.1714,-0.2657,-0.2156,0,0,0,0,0,0,0,0
"relaxedlag",0.4618,0.4311,0.9951,0.6206,-0.2315,-0.0683,-0.2502,-0.2579,0,0,0,0,0,0,0,0
"satisfiedlag",0.5853,0.5283,0.6206,0.9934,-0.2537,-0.183,-0.2271,-0.3073,0,0,0,0,0,0,0,0
"angrylag",-0.3536,-0.1532,-0.2315,-0.2537,1.0073,0.1324,0.5906,0.5995,0,0,0,0,0,0,0,0
"anxiouslag",-0.0489,-0.1714,-0.0683,-0.183,0.1324,0.9975,0.1572,0.0437,0,0,0,0,0,0,0,0
"depressedlag",-0.4211,-0.2657,-0.2502,-0.2271,0.5906,0.1572,1.0026,0.4799,0,0,0,0,0,0,0,0
"sadlag",-0.3247,-0.2156,-0.2579,-0.3073,0.5995,0.0437,0.4799,1.0027,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.7492,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.6574,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.5455,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.5768,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.8391,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.9863,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.738,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4738
