"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1.0061,0.6816,0.6047,0.7936,-0.3795,-0.3713,-0.5448,-0.6226,0,0,0,0,0,0,0,0
"excitedlag",0.6816,1.0036,0.5302,0.6291,-0.1545,-0.1583,-0.3158,-0.4101,0,0,0,0,0,0,0,0
"relaxedlag",0.6047,0.5302,1.0037,0.6703,-0.1876,-0.1485,-0.3267,-0.3644,0,0,0,0,0,0,0,0
"satisfiedlag",0.7936,0.6291,0.6703,1.0054,-0.361,-0.3607,-0.4552,-0.5314,0,0,0,0,0,0,0,0
"angrylag",-0.3795,-0.1545,-0.1876,-0.361,1.0014,0.4716,0.4934,0.418,0,0,0,0,0,0,0,0
"anxiouslag",-0.3713,-0.1583,-0.1485,-0.3607,0.4716,1,0.3179,0.3496,0,0,0,0,0,0,0,0
"depressedlag",-0.5448,-0.3158,-0.3267,-0.4552,0.4934,0.3179,1.0045,0.5167,0,0,0,0,0,0,0,0
"sadlag",-0.6226,-0.4101,-0.3644,-0.5314,0.418,0.3496,0.5167,1.0028,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.4966,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.5126,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.5615,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.3571,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.6746,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.7711,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5997,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6753
