"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1,0.3216,0.4203,0.0927,-0.2279,0.0452,-0.4161,-0.2485,0,0,0,0,0,0,0,0
"excitedlag",0.3216,1,0.0917,0.3155,0.0436,0.1811,-0.181,-0.0407,0,0,0,0,0,0,0,0
"relaxedlag",0.4203,0.0917,1,0.1048,-0.253,0.0727,-0.4298,-0.2174,0,0,0,0,0,0,0,0
"satisfiedlag",0.0927,0.3155,0.1048,1,0.1303,0.3644,-0.0987,0.1069,0,0,0,0,0,0,0,0
"angrylag",-0.2279,0.0436,-0.253,0.1303,1,0.2455,0.1511,0.6128,0,0,0,0,0,0,0,0
"anxiouslag",0.0452,0.1811,0.0727,0.3644,0.2455,1,-0.0228,0.2492,0,0,0,0,0,0,0,0
"depressedlag",-0.4161,-0.181,-0.4298,-0.0987,0.1511,-0.0228,1,0.2582,0,0,0,0,0,0,0,0
"sadlag",-0.2485,-0.0407,-0.2174,0.1069,0.6128,0.2492,0.2582,1,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.8126,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.8319,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.7935,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.8013,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.6109,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.862,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7034,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.876
