"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1,0.5423,0.4063,0.5481,-0.322,-0.0806,-0.2658,-0.2145,0,0,0,0,0,0,0,0
"excitedlag",0.5423,1,0.4084,0.5461,-0.3432,-0.0455,-0.1369,-0.1405,0,0,0,0,0,0,0,0
"relaxedlag",0.4063,0.4084,1,0.5702,-0.1761,0.0379,-0.0991,-0.0208,0,0,0,0,0,0,0,0
"satisfiedlag",0.5481,0.5461,0.5702,1,-0.4044,-0.1799,-0.1831,-0.2857,0,0,0,0,0,0,0,0
"angrylag",-0.322,-0.3432,-0.1761,-0.4044,1,0.4233,0.4255,0.5454,0,0,0,0,0,0,0,0
"anxiouslag",-0.0806,-0.0455,0.0379,-0.1799,0.4233,1,0.4045,0.5499,0,0,0,0,0,0,0,0
"depressedlag",-0.2658,-0.1369,-0.0991,-0.1831,0.4255,0.4045,1,0.3889,0,0,0,0,0,0,0,0
"sadlag",-0.2145,-0.1405,-0.0208,-0.2857,0.5454,0.5499,0.3889,1,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.8298,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.7392,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.5886,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.6485,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.5931,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.6741,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8336,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6335
