"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1.0315,0.8033,0.5022,0.6962,0.0234,-0.0347,0.1981,-0.4325,0,0,0,0,0,0,0,0
"excitedlag",0.8033,1.0489,0.439,0.6957,0.0097,-0.123,0.1454,-0.2108,0,0,0,0,0,0,0,0
"relaxedlag",0.5022,0.439,0.9867,0.4834,-0.1062,-0.0306,0.0874,-0.2487,0,0,0,0,0,0,0,0
"satisfiedlag",0.6962,0.6957,0.4834,1.0223,-0.0898,-0.1879,0.0613,-0.5198,0,0,0,0,0,0,0,0
"angrylag",0.0234,0.0097,-0.1062,-0.0898,0.9977,0.0202,0.0063,0.077,0,0,0,0,0,0,0,0
"anxiouslag",-0.0347,-0.123,-0.0306,-0.1879,0.0202,0.9992,0.0948,-0.0301,0,0,0,0,0,0,0,0
"depressedlag",0.1981,0.1454,0.0874,0.0613,0.0063,0.0948,0.9915,-0.0341,0,0,0,0,0,0,0,0
"sadlag",-0.4325,-0.2108,-0.2487,-0.5198,0.077,-0.0301,-0.0341,0.9835,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.2676,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.3146,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.6216,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.3935,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.9787,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.9969,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9427,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4283
