"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",0.9998,0.3207,0.42,0.0922,-0.2269,0.0452,-0.4162,-0.248,0,0,0,0,0,0,0,0
"excitedlag",0.3207,0.9946,0.0914,0.313,0.0433,0.1804,-0.1806,-0.0405,0,0,0,0,0,0,0,0
"relaxedlag",0.42,0.0914,0.9992,0.1042,-0.2519,0.0726,-0.4298,-0.2169,0,0,0,0,0,0,0,0
"satisfiedlag",0.0922,0.313,0.1042,0.9893,0.1291,0.362,-0.0982,0.1062,0,0,0,0,0,0,0,0
"angrylag",-0.2269,0.0433,-0.2519,0.1291,0.9921,0.2443,0.1506,0.6093,0,0,0,0,0,0,0,0
"anxiouslag",0.0452,0.1804,0.0726,0.362,0.2443,0.9975,-0.0228,0.2484,0,0,0,0,0,0,0,0
"depressedlag",-0.4162,-0.1806,-0.4298,-0.0982,0.1506,-0.0228,1.0007,0.2579,0,0,0,0,0,0,0,0
"sadlag",-0.248,-0.0405,-0.2169,0.1062,0.6093,0.2484,0.2579,0.9964,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.7976,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.8082,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.7965,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.7919,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.5926,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.8597,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.662,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8605
