"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",0.9957,0.7233,0.6661,0.6885,-0.2521,-0.016,-0.3058,-0.2235,0,0,0,0,0,0,0,0
"excitedlag",0.7233,0.9927,0.5024,0.5543,-0.1865,-0.0094,-0.2299,-0.1342,0,0,0,0,0,0,0,0
"relaxedlag",0.6661,0.5024,0.9957,0.6911,-0.3276,-0.0212,-0.3755,-0.1828,0,0,0,0,0,0,0,0
"satisfiedlag",0.6885,0.5543,0.6911,0.9919,-0.3224,-0.026,-0.432,-0.233,0,0,0,0,0,0,0,0
"angrylag",-0.2521,-0.1865,-0.3276,-0.3224,0.9952,0.0287,0.3288,0.4493,0,0,0,0,0,0,0,0
"anxiouslag",-0.016,-0.0094,-0.0212,-0.026,0.0287,0.9951,0.0659,0.0055,0,0,0,0,0,0,0,0
"depressedlag",-0.3058,-0.2299,-0.3755,-0.432,0.3288,0.0659,0.9922,0.3982,0,0,0,0,0,0,0,0
"sadlag",-0.2235,-0.1342,-0.1828,-0.233,0.4493,0.0055,0.3982,0.9946,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.3746,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.3639,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.4809,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.4903,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.7107,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.9964,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7834,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8104
