"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happy",0.069,0,0,0,0,0,0,0,0,0,0.0741,0,0,0,0,0
"excited",0,0.0692,0,0,0,0,0,0.069,0.0651,0,0,0,0,0,0,0
"relaxed",0,0,0.0719,0,0,0,0,0,0,0,0,0.0714,0,0,0,0
"satisfied",0,0,0,0.0652,0,0,0,0,0.066,0.0595,0,0,0,0.0569,0,0
"angry",0,0,0,0,0.0693,0,0,0,0,0,0,0,0,0,0,0.0637
"anxious",0,0,0,0,0,0.0665,0,0,0,0,0,0,0.0632,0,0,0
"depressed",0,0,0,0,0,0,0.0759,0,0.0687,0,0,0,0,0,0,0
"sad",0,0,0,0,0,0,0,0.0766,0,0,0,0,0,0,0.071,0
